,Model Name,Model Type,Shorthand,Iteration,Mean Square Error (Test),Root MSE (Test),R2 Score (Test),Training Time,Target Variable,Mean Square Error (Train),Root MSE (Train),R2 Score (Train),Mean Square Error (Validate),Root MSE (Validate),R2 Score (Validate)
0,Recurrent,Neural Network,REC,16,0.0004,0.0201,0.9666,179.6755,Latitude,0.00784829631447792,0.9363400936126709,0.088590607047081,0.009203750640153885,0.9251089096069336,0.09593617916107178
0,Recurrent,Neural Network,REC,16,0.0008,0.0286,0.926,206.1631,Longitude,0.014472860842943192,0.9144614934921265,0.1203032061457634,0.017662413418293,0.8956298828125,0.13290001451969147
0,Recurrent,Neural Network,REC,17,0.0004,0.0202,0.9663,256.4245,Latitude,0.0073874699883162975,0.9400779604911804,0.08595038950443268,0.008314023725688457,0.9323485493659973,0.09118127077817917
0,Recurrent,Neural Network,REC,17,0.0008,0.0284,0.927,153.9954,Longitude,0.014142879284918308,0.916411817073822,0.11892383545637131,0.01840902306139469,0.8912179470062256,0.13567985594272614
0,Recurrent,Neural Network,REC,18,0.0004,0.021,0.9637,205.174,Latitude,0.007508550304919481,0.9390958547592163,0.08665189146995544,0.009355289861559868,0.9238757491111755,0.09672274440526962
0,Recurrent,Neural Network,REC,18,0.001,0.0322,0.9062,256.6872,Longitude,0.018663622438907623,0.8896929025650024,0.1366148740053177,0.01808987930417061,0.8931037783622742,0.13449862599372864
0,Recurrent,Neural Network,REC,19,0.0005,0.022,0.9602,256.7239,Latitude,0.007471675053238869,0.9393949508666992,0.086438849568367,0.00820514652878046,0.9332346320152283,0.09058226644992828
0,Recurrent,Neural Network,REC,19,0.0012,0.034,0.8957,231.1306,Longitude,0.026141518726944923,0.8454965949058533,0.16168339550495148,0.027046727016568184,0.8401764035224915,0.16445888578891754
0,Recurrent,Neural Network,REC,20,0.0011,0.033,0.9102,256.6137,Latitude,0.016504550352692604,0.8661265969276428,0.1284700334072113,0.01478181965649128,0.8797200918197632,0.12158050388097763
0,Recurrent,Neural Network,REC,20,0.0011,0.0333,0.8999,256.4815,Longitude,0.01880025491118431,0.8888852596282959,0.137114018201828,0.019060056656599045,0.8873708844184875,0.13805817067623138
0,Recurrent,Neural Network,REC,21,0.0004,0.0205,0.9653,256.5901,Latitude,0.006471686996519566,0.9475061893463135,0.08044679462909698,0.006961863487958908,0.9433512091636658,0.08343778550624847
0,Recurrent,Neural Network,REC,21,0.0009,0.0292,0.9228,256.3657,Longitude,0.015767650678753853,0.9068087935447693,0.12556929886341095,0.015144333243370056,0.9105095863342285,0.12306231260299683
0,Recurrent,Neural Network,REC,22,0.003,0.055,0.7503,257.048,Latitude,0.03255293145775795,0.7359535098075867,0.180424302816391,0.03150855004787445,0.7436144351959229,0.1775064766407013
0,Recurrent,Neural Network,REC,22,0.0008,0.0284,0.9271,256.4965,Longitude,0.01675225980579853,0.9009896516799927,0.12943051755428314,0.018131867051124573,0.892855703830719,0.13465462625026703
0,Recurrent,Neural Network,REC,23,0.0004,0.0198,0.9677,256.4333,Latitude,0.007336650043725967,0.9404903054237366,0.08565424382686615,0.007339537143707275,0.9402779936790466,0.08567109704017639
0,Recurrent,Neural Network,REC,23,0.0008,0.028,0.9293,128.2466,Longitude,0.017193932086229324,0.8983792066574097,0.13112562894821167,0.017399633303284645,0.8971825838088989,0.13190767168998718
0,Recurrent,Neural Network,REC,24,0.0006,0.0246,0.9502,256.3128,Latitude,0.00911694671958685,0.9260498285293579,0.0954827070236206,0.01086852140724659,0.9115626215934753,0.10425220429897308
0,Recurrent,Neural Network,REC,24,0.0008,0.0282,0.9283,256.7622,Longitude,0.016556309536099434,0.9021477699279785,0.1286713182926178,0.01634261943399906,0.9034287333488464,0.12783825397491455
0,Radial Basis Function,Neural Network,RBF,0,0.0093,0.0967,0.2294,70.1434,Latitude,0.09517857432365417,0.2279776930809021,0.3085102438926697,0.09472674876451492,0.22920620441436768,0.3077771067619324
0,Radial Basis Function,Neural Network,RBF,0,0.0085,0.0923,0.2318,69.1747,Longitude,0.1305016130208969,0.22870051860809326,0.3612500727176666,0.12971428036689758,0.23349648714065552,0.36015868186950684
0,Radial Basis Function,Neural Network,RBF,1,0.0065,0.0805,0.4656,69.4784,Latitude,0.06513480097055435,0.47167205810546875,0.25521519780158997,0.06580924987792969,0.4645085334777832,0.256533145904541
0,Radial Basis Function,Neural Network,RBF,1,0.0071,0.084,0.363,69.6525,Longitude,0.10840059071779251,0.35932278633117676,0.32924243807792664,0.10770095884799957,0.36357688903808594,0.3281782567501068
0,Radial Basis Function,Neural Network,RBF,2,0.0058,0.0761,0.522,69.6641,Latitude,0.05991547182202339,0.5140075087547302,0.24477636814117432,0.06179667264223099,0.4971590042114258,0.24858936667442322
0,Radial Basis Function,Neural Network,RBF,2,0.007,0.0834,0.3718,48.6839,Longitude,0.10586757957935333,0.37429338693618774,0.32537299394607544,0.10962458699941635,0.3522098660469055,0.3310960531234741
0,Radial Basis Function,Neural Network,RBF,3,0.0057,0.0754,0.5311,69.428,Latitude,0.05930086970329285,0.5189934968948364,0.2435176968574524,0.06007794290781021,0.5111443400382996,0.24510802328586578
0,Radial Basis Function,Neural Network,RBF,3,0.0068,0.0823,0.3882,48.6593,Longitude,0.10468484461307526,0.38128411769866943,0.32355037331581116,0.11287893354892731,0.33297938108444214,0.3359746038913727
0,Radial Basis Function,Neural Network,RBF,4,0.0057,0.0757,0.5272,55.4738,Latitude,0.058921877294778824,0.5220667123794556,0.2427382916212082,0.06409897655248642,0.4784250855445862,0.2531777620315552
0,Radial Basis Function,Neural Network,RBF,4,0.0067,0.0819,0.395,69.3321,Longitude,0.1030222624540329,0.39111125469207764,0.3209708034992218,0.11169123649597168,0.33999770879745483,0.334202378988266
0,Radial Basis Function,Neural Network,RBF,5,0.0057,0.0758,0.5263,48.6902,Latitude,0.05883022025227547,0.5228107571601868,0.24254941940307617,0.05866759270429611,0.5226203799247742,0.24221393465995789
0,Radial Basis Function,Neural Network,RBF,5,0.0067,0.0821,0.3912,28.0332,Longitude,0.1032562404870987,0.3897278904914856,0.3213350772857666,0.1057216227054596,0.3752731680870056,0.3251486122608185
0,Radial Basis Function,Neural Network,RBF,6,0.0057,0.0753,0.5317,34.7002,Latitude,0.058986734598875046,0.5215411186218262,0.24287185072898865,0.058177024126052856,0.5266121625900269,0.24119913578033447
0,Radial Basis Function,Neural Network,RBF,6,0.0068,0.0825,0.3858,27.8882,Longitude,0.10356209427118301,0.387920081615448,0.32181066274642944,0.10525806993246078,0.37801235914230347,0.3244349956512451
0,Radial Basis Function,Neural Network,RBF,7,0.0056,0.0751,0.535,55.1328,Latitude,0.05843633413314819,0.5260056853294373,0.24173608422279358,0.05731780827045441,0.5336036086082458,0.2394113838672638
0,Radial Basis Function,Neural Network,RBF,7,0.0066,0.0815,0.4013,69.7504,Longitude,0.10198065638542175,0.39726680517196655,0.31934410333633423,0.10191358625888824,0.39777547121047974,0.31923907995224
0,Radial Basis Function,Neural Network,RBF,8,0.0056,0.075,0.5365,55.3035,Latitude,0.05845258757472038,0.5258737206459045,0.2417697012424469,0.059335652738809586,0.5171843767166138,0.2435891032218933
0,Radial Basis Function,Neural Network,RBF,8,0.0066,0.0812,0.405,48.4405,Longitude,0.10141671448945999,0.40059906244277954,0.3184598982334137,0.10141143202781677,0.400742769241333,0.3184516131877899
0,Radial Basis Function,Neural Network,RBF,9,0.0057,0.0752,0.5335,48.3283,Latitude,0.058430831879377365,0.5260499119758606,0.24172469973564148,0.060584235936403275,0.5070246458053589,0.24613864719867706
0,Radial Basis Function,Neural Network,RBF,9,0.0066,0.0812,0.4048,41.8263,Longitude,0.10168241709470749,0.3990292549133301,0.31887680292129517,0.10482996702194214,0.3805420994758606,0.3237745761871338
0,Radial Basis Function,Neural Network,RBF,10,0.0058,0.076,0.5237,27.8775,Latitude,0.05859893187880516,0.524686336517334,0.24207216501235962,0.05980626866221428,0.5133549571037292,0.24455320835113525
0,Radial Basis Function,Neural Network,RBF,10,0.0067,0.0817,0.3976,27.9389,Longitude,0.10174836218357086,0.398639440536499,0.3189801871776581,0.10352764278650284,0.38823771476745605,0.32175710797309875
0,Radial Basis Function,Neural Network,RBF,11,0.0056,0.0746,0.5413,69.1116,Latitude,0.058186255395412445,0.5280333757400513,0.24121826887130737,0.0564875565469265,0.540359377861023,0.2376711070537567
0,Radial Basis Function,Neural Network,RBF,11,0.0067,0.0817,0.3978,34.8952,Longitude,0.10201217979192734,0.3970795273780823,0.31939345598220825,0.1026586964726448,0.39337247610092163,0.32040396332740784
